Child Name,Email Address,Contact,follow up,response,Introduction,"Activity:- Know your personality, a fun way",A Simple Quiz on the previous Video,Lets see what ‘Product’ is…,A Simple Quiz on the previous Video,Product that represents me,Let's see what 'Service' means,A Simple Quiz on the previous Video,Instruction for 'Product &amp; Service' worksheet,Activity:- Product and Service Worksheet,Instructions for Product Word Association,Activity:- Product Word Association,Life without products??.... Impossible !,What Is a Need?,A Simple Quiz on the previous Video,Summary of Session 1,Your Feedback on Session 1
David Hess,David.Hess@gmail.com,,,,"Completed Monday, 14 November 2016, 11:36 AM","Completed Monday, 14 November 2016, 11:53 AM","Completed (achieved pass grade) Monday, 14 November 2016, 11:55 AM","Completed Monday, 14 November 2016, 11:56 AM","Completed Monday, 14 November 2016, 12:35 PM","Completed Monday, 14 November 2016, 12:39 PM","Completed Monday, 14 November 2016, 12:40 PM","Completed (achieved pass grade) Monday, 14 November 2016, 12:42 PM","Completed Monday, 14 November 2016, 12:43 PM","Completed (achieved pass grade) Monday, 14 November 2016, 12:48 PM","Completed Monday, 14 November 2016, 12:49 PM","Completed Monday, 14 November 2016, 1:06 PM","Completed Monday, 14 November 2016, 1:07 PM","Completed Monday, 14 November 2016, 1:08 PM","Completed (achieved pass grade) Monday, 14 November 2016, 2:36 PM","Completed Monday, 14 November 2016, 3:49 PM","Completed Monday, 14 November 2016, 3:51 PM"
Anne Wallace,Anne.Wallace@gmail.com,8918289445,not responding,not reachable,"Completed Monday, 14 November 2016, 12:16 PM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Lauren Clark,Lauren.Clark@soprasteria.com,8632952531,"had to go out , will complete remaining today/tom",time issue,"Completed Saturday, 19 November 2016, 3:06 PM","Completed Saturday, 19 November 2016, 3:19 PM","Completed (achieved pass grade) Saturday, 19 November 2016, 3:21 PM","Completed Saturday, 19 November 2016, 3:22 PM","Completed Saturday, 19 November 2016, 3:42 PM","Completed Saturday, 19 November 2016, 3:47 PM","Completed Saturday, 19 November 2016, 3:48 PM","Completed (achieved pass grade) Saturday, 19 November 2016, 3:57 PM","Completed Saturday, 19 November 2016, 3:57 PM","Completed (achieved pass grade) Saturday, 19 November 2016, 4:03 PM","Completed Saturday, 19 November 2016, 4:04 PM","Completed Saturday, 19 November 2016, 4:15 PM","Completed Saturday, 19 November 2016, 4:15 PM","Completed Saturday, 19 November 2016, 4:21 PM",Not completed,Not completed,Not completed
Christopher Duffy,Christopher.Duffy@yahoo.com,8829763341,not responding,not reachable,"Completed Tuesday, 15 November 2016, 7:29 PM","Completed Tuesday, 15 November 2016, 7:41 PM","Completed (achieved pass grade) Tuesday, 15 November 2016, 7:42 PM","Completed Tuesday, 15 November 2016, 7:43 PM","Completed Tuesday, 15 November 2016, 7:58 PM","Completed Sunday, 20 November 2016, 8:24 PM","Completed Sunday, 20 November 2016, 8:25 PM","Completed (achieved pass grade) Sunday, 20 November 2016, 8:42 PM","Completed Sunday, 20 November 2016, 8:42 PM","Completed (achieved pass grade) Sunday, 20 November 2016, 8:48 PM","Completed Sunday, 20 November 2016, 8:48 PM","Completed Sunday, 20 November 2016, 8:58 PM","Completed Sunday, 20 November 2016, 8:58 PM","Completed Sunday, 20 November 2016, 9:05 PM",Not completed,Not completed,Not completed
Matthew Landry,Matthew.Landry@gmail.com,8995435910,"child doest enjoy online and also she has her exams, however mother will try to convince her to complete her first session tom.",not interested,"Completed Monday, 14 November 2016, 7:54 PM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Robert Brown,Robert.Brown@gmail.com,9739425164,"driving, will call later",couldnt speak,"Completed Monday, 14 November 2016, 12:48 PM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Angela Lewis,Angela.Lewis@gmail.com,9600420048,unable to view videos. Vivek will talk,Tech issue,"Completed Monday, 14 November 2016, 6:54 PM",Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Alfred Johnson,Alfred.Johnson@gmail.com,,,,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Kurt Gordon,Kurt.Gordon@hotmail.com,8142421046,"Exams were going on , mother will ask to her son to complete first session soon , probably this week",time issue,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
Robert Trevino,Robert.Trevino@rediff.com,,,,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed,Not completed
